price_open,price_high,price_low,amount,price_close
1368.69,1407.52,1361.21,5183.9,1406.37
1407.83,1433.78,1398.32,8137.33,1409.68
1406.04,1463.96,1400.25,9520.84,1463.94
1477.15,1522.83,1477.15,19487.19,1516.6
1531.71,1546.72,1506.4,18779.11,1545.11
1547.68,1547.71,1468.76,15771.75,1479.78
1473.76,1489.28,1435,12656.69,1438.02
1437.45,1444.07,1418.81,7468.73,1424.44
1426.22,1433.47,1401.71,6256.4,1408.85
1408.99,1433.38,1402.66,6290.28,1433.33
1436.89,1443.59,1421.64,7072.43,1426.62
1425.87,1443.67,1425.14,6493.59,1440.72
1443.09,1466.9,1443.09,8875.43,1466.86
1471.91,1476.46,1458.93,13743.48,1465.09
1465.86,1477.41,1449.47,14606.04,1477.34
1483.03,1490.46,1467.44,12996.7,1476.51
1477.3,1482.46,1469.98,9577.44,1481.12
1490.45,1506.92,1485.23,15992.56,1506.77
1514.56,1536.35,1510.75,20709.48,1535
1591.45,1674.13,1587.82,23157.62,1673.94
1709.22,1746.44,1663.01,34925.49,1670.67
1674.94,1695.88,1649.7,34009,1693.11
1734.27,1770.88,1615.63,47262.17,1640.65
1623.96,1668.16,1583.58,25842.49,1668.09
1681.36,1697.01,1652.48,32615.79,1677.14
1681.3,1687.51,1627.47,26178.82,1632.29
1618.01,1630.55,1586.63,18577.26,1594.93
1593.95,1634.32,1593.93,14762.16,1634.31
1639.92,1650.37,1618.18,18504.67,1631.58
1639.8,1704.88,1639.7,24422.23,1704.86
1728.14,1733.14,1678.35,32196.01,1714.58
1720.6,1721.14,1692.51,23873.89,1697.74
1697.56,1721.6,1682.54,20352.63,1713.01
1728.36,1750.65,1721.71,25767.59,1738.02
1756.31,1762.83,1678.74,26614.91,1681.09
1661.95,1694.89,1654.44,16439.37,1694.8
1699.46,1726.04,1690.12,17218.28,1726.03
1734.77,1741.22,1714.92,18604.74,1732.35
1731.94,1743.14,1701.79,16393.99,1705.05
1706.77,1729.01,1706.35,12882.61,1728.88
1690.65,1700.37,1636.89,18661.15,1685.35
1680.3,1695.16,1676.54,15695.37,1681.47
1671.1,1671.18,1596.07,13637.41,1607.53
1602.36,1661.98,1602.34,13891.46,1658.6
1646.31,1699.28,1641.77,17219.84,1699.25
1704.09,1713.21,1692.68,17635.84,1710.32
1713.24,1726.59,1711.16,16886.3,1720.45
1724.19,1747.28,1711.41,17434.44,1747.24
1761.44,1770.26,1729.48,22607.37,1730.5
1736.7,1776.02,1736.7,20103.07,1775.91
1788.83,1799.95,1774.48,22388.47,1791.44
1797.88,1803.83,1763.62,19240.34,1788.81
1793.68,1811.06,1790.85,18011.62,1810.98
1810.55,1810.9,1780.41,18552.25,1800.23
1799.58,1816.86,1798.25,17921.35,1801
1795.16,1795.16,1755.98,14832.92,1760.69
1756.3,1776.72,1746.3,12164.24,1771.2
1775.78,1809.17,1775.68,14467.56,1809.14
1816.79,1822.62,1807.54,15683.97,1819.9
1826.61,1831.85,1815.99,16191.77,1826.06
1826.4,1828.06,1812.01,14330.84,1821.17
1822.4,1823.83,1785.33,12673.77,1807.33
1807.84,1832.08,1807.71,14957.16,1831.55
1835.86,1840.19,1820.67,16789.07,1833.67
1829.62,1829.93,1778.88,18006.79,1795.06
1794.34,1813.57,1779.29,12563.87,1813.5
1819.08,1831.57,1817.21,13317,1828.71
1831.66,1847.51,1831.49,16462.8,1847.03
1851.31,1858.27,1834.85,17091.94,1841.06
1844.7,1848.97,1827.17,15628.04,1837.4
1838.05,1841.86,1815.63,11112.37,1833.47
1835.67,1842.89,1826.39,10596.52,1832.78
1835.6,1840.57,1803.58,12226.65,1806.83
1805.5,1836.33,1797.71,11368.1,1836.32
1848.17,1852.9,1828.1,9370.45,1836.64
1839,1839.29,1799.82,9442.89,1806.64
1801.43,1801.64,1750.01,8447.19,1752.69
1750.86,1762.13,1718.89,8141.31,1724.05
1725.87,1740.95,1715.06,7146.07,1720.61
1722.64,1726.72,1695.53,6642.87,1704.59
1706.73,1725.9,1706.73,5311.44,1724.54
1727.43,1736.27,1722.71,5381.9,1725.4
1725.6,1758.54,1719.84,7887.89,1758.54
1761.79,1777.98,1754.88,10186.38,1777.83
1785.89,1830.93,1783.3,15293.81,1824.74
1834.44,1836.99,1811.58,12572.76,1832.08
1835.56,1861.48,1831.84,16279.51,1855.49
1866.56,1880.72,1860.78,18349.95,1880.7
1885.75,1890.69,1860.92,18315.58,1879.62
1885.55,1900.67,1882.74,18860.83,1898.75
1903.53,1908.31,1868.61,16860.8,1877.47
1875.46,1894.58,1869.34,16247.71,1894.55
1900.53,1906.82,1890,15427.01,1903.49
1906.16,1916.25,1897.71,17480.91,1916.25
1921.97,1930.34,1889.82,21494.09,1899.09
1898.59,1925.55,1891.67,16217.41,1925.54
1934.38,1940.22,1921.38,15843.6,1935.03
1937.2,1938.55,1913.37,15226.68,1925.21
1926.15,1929.95,1896.06,14353.96,1900.79
1896.43,1912.59,1884.62,12487.75,1912.56
1918.19,1938.67,1917.19,13872.24,1938.67
1944.44,1949.17,1929.71,15923.46,1932.29
1933.06,1942.33,1925.91,14026.91,1942.29
1945.7,1947.46,1919.4,14588.99,1926.94
1924.69,1926.98,1910.47,12038.24,1915.21
1913.07,1913.07,1888.08,9752.54,1895.35
1894.78,1913.15,1894.63,8754.41,1913.13
1918.16,1921.15,1906.3,9545.65,1913.9
1915.31,1939.63,1913.65,12747.64,1939.63
1946.7,1953.34,1943.25,14136.45,1948.64
1949.78,1952.46,1938.14,11628.69,1942.9
1943.98,1953.06,1940.05,12112.09,1947.48
1949.85,1951.13,1924.47,12264.64,1937.26
1937.84,1941.4,1924.97,12624.4,1928.11
1917.44,1917.45,1890.53,11983.82,1895.64
1891.21,1907.94,1888.25,8581.33,1907.93
1910.42,1918.91,1904.47,8073.74,1909.19
1909.24,1910.05,1896.66,8824.96,1902.55
1904.09,1932.83,1904.09,10742.17,1932.79
1938.84,1948.06,1932.96,14072.03,1948.02
1952.26,1960.6,1947.67,14391.81,1960.54
1965.23,1974.41,1960.35,14906.32,1973.37
1978.55,1984.07,1963.55,19350.1,1979.2
1981.78,1987.22,1972.62,16334.69,1987.19
1992.89,1997.94,1980.22,15661.44,1982.48
1982.5,1993.99,1981.74,11080.58,1993.99
2000.33,2004.46,1987.42,12685.11,1998.43
1999.09,2003.8,1979.88,12997.4,1991.56
1994.42,1998.35,1991.84,10809.19,1996.34
1998.25,1999.9,1982.88,11390.18,1989.24
1990.15,1997.85,1989.09,11050.17,1996.58
1999.44,2012.4,1999.4,11679.82,2012.32
2017.46,2025,2004.55,14663.28,2012.35
2014.11,2016.94,2006.17,13327.39,2012.79
2016.14,2023.57,2008.64,15328.03,2023.54
2027.01,2031.93,2023.45,11273.85,2028.15
2030.79,2033.19,2018.48,11096.05,2030.68
2032.94,2038.65,2030.1,13159.63,2036.3
2037.47,2041.28,2013.45,14517.95,2026.36
2025.18,2039.42,2017.9,13194.1,2039.42
2042.75,2050.07,2040.78,13489.7,2049.92
2051.65,2061.28,2048.49,15774.78,2061.18
2065.31,2067.75,2053.86,17966.58,2065.94
2067.78,2070.3,2055.2,15406.53,2062.67
2065.94,2076.33,2065.94,13785.73,2076.3
2079.07,2082.74,2066.16,12776.11,2076.82
2078.49,2083.47,2072.98,13458.29,2083.47
2086.81,2092.33,2086.56,13776.08,2091.59
2093.63,2097.32,2086.75,12914.59,2090.18
2095.38,2108.88,2093.42,16485.78,2108.69
2112.02,2114.52,2074.52,15718.83,2074.7
2064.05,2080.14,1980.35,23007.11,2057.92
2058.53,2073.95,2043.21,17062.33,2071.16
2073.72,2086.72,2066.33,13463.88,2086.7
2092.12,2100.7,2085.6,14500.83,2100.59
2103.03,2105.63,2094.61,13338.55,2105.48
2107.02,2108.1,2075.16,13796.94,2076.14
2062.84,2064.76,2019.45,13998.25,2021.2
2009.15,2026.35,1997.72,11909.3,1999.86
1994.89,2010.6,1981.23,9573.13,2010.6
2015.06,2020.85,1959.59,8915.76,1963.79
1955.5,1964.27,1923.6,8866.11,1925.91
1929.3,1963.23,1929.3,7624.53,1950.66
1955.15,1963.89,1945.92,7143.5,1959.31
1963.27,1972.08,1956.08,7367.59,1972.04
1975.41,1979.32,1965.4,6906.09,1979.1
1980.53,1995.32,1975.13,7726.37,1988.94
1989.97,1992.37,1973.02,6510.99,1979.51
1978.04,1978.47,1966.88,6103.33,1978.43
1979.53,1981.13,1946.18,6380.46,1946.75
1937.32,1937.37,1895.49,7938.02,1903.15
1902.91,1922.3,1892.28,6535.65,1922.29
1924.83,1927.52,1905.65,6417.93,1907.31
1904.57,1904.57,1888.09,6447.67,1891.98
1889.9,1896.72,1874.21,4674.53,1875.91
1878.31,1890.67,1878.05,4629.19,1887.83
1889.88,1914.11,1889.87,4291.88,1914.09
1915.5,1917.06,1886.94,5118.58,1889.29
1888.2,1910.49,1888.07,5101.31,1910.16
1912.08,1915.5,1897.24,5724.8,1915.35
1917.9,1942.17,1917.68,7010.88,1942.15
1944.25,1948.01,1931.46,7663.06,1933.73
1933.14,1933.33,1918.47,7630.47,1926.32
1927.35,1932.32,1911.36,7331.12,1918.16
1917.45,1917.56,1897.91,6096.27,1902.81
1902.07,1909.49,1896.95,4690.52,1909.49
1911.71,1922.85,1911.71,7782,1922.85
1925.21,1927.37,1911.18,5938.2,1913.42
1913.16,1947.47,1912.38,9689.26,1947.46
1952.96,1960.86,1945.67,9638.93,1958.94
1960.37,1962.13,1945.53,7342.63,1956.34
1957.38,1978.99,1957.31,11408.58,1977.25
1979.3,1980.63,1962.2,8684.37,1967.67
1968.17,1971.79,1957.74,7786.52,1967.41
1967.65,1974.24,1962.81,9374.29,1973.58
1974.53,1979.99,1956.42,7911.98,1961.29
1961.08,1977.37,1959.72,8196.13,1977.36
1981.77,1992.86,1980.89,8841.71,1984.26
1984.99,1989.11,1977.21,7328.83,1981.63
1983.07,1992.88,1982.75,8928.64,1991.17
1993.45,1997.08,1990.06,7278.83,1997.08
1999.15,2012.99,1998.35,8600.39,2012.91
2016.22,2032.52,2014.84,13103.3,2032.48
2037.08,2051.34,2033.63,15893.17,2047.46
2054.48,2071.69,2053.44,15478.74,2070.79
2072.79,2085.12,2055.21,14376.83,2085.12
2087.28,2092.65,2074.38,14338.16,2081.91
2081.14,2096.05,2080.61,14983.27,2095.98
2098.89,2104.7,2084.9,13085.71,2093.24
2092.59,2101.4,2078.28,13467.54,2101.39
2104.07,2112.91,2095.58,12041.54,2097.98
2097.28,2113.35,2091.62,12051.09,2113.3
2119.16,2125.72,2109.22,14288.67,2119.44
2119.01,2125.41,2045.51,16602.8,2053.37
2041.16,2062.81,2031.93,11467.96,2049.67
2052.78,2079.48,2052.78,9261.74,2079.4
2081.5,2082.9,2055.94,10754.44,2067.5
2067.07,2072.29,2057.04,9115.26,2070.61
2073.09,2082.03,2071.5,8622.49,2081.84
2084.48,2092.32,2077.81,9442.14,2092.14
2094.99,2097.29,2085.8,8833.57,2091.67
2093,2095.44,2070.35,10794.54,2075.63
2072.53,2078.14,2060.73,10197.66,2075.04
2074.57,2083.27,2069.66,10305.75,2073.16
2072.28,2072.48,2039,9100.69,2046.08
2045.17,2059.05,2037.9,9456.61,2059.05
2057.38,2059.6,2050.18,8631.89,2056.12
2057,2059.27,2046.94,6874.51,2051.08
2052.79,2055.61,2036.88,7922.51,2039.36
2038.45,2044.56,2024.29,9212.17,2044.55
2047.35,2056.76,2046.03,10994.98,2049.03
2050.07,2071.31,2048.64,11135.32,2071.27
2075.56,2086.94,2074.34,12452.92,2076.89
2078.43,2079.97,2066.22,12617.51,2069.77
2071.57,2075.21,2062.04,11965.24,2068.17
2070.38,2076.41,2068.81,10872.51,2076.27
2077.72,2079.76,2056,11810.7,2058.24
2054.52,2061.05,2047.74,11352.37,2053.7
2055.83,2073.88,2055.5,11666.4,2073.48
2077.08,2103.54,2074.88,13405.1,2103.47
2108.25,2123.9,2105.5,17516.83,2123.9
2125.49,2127.42,2113.18,14295.25,2117.41
2117.66,2125.38,2114.06,14844.24,2125.3
2128.6,2131.98,2092.1,15887.66,2102.06
2099.32,2111.1,2082.84,11581.77,2101.14
2102.09,2125.67,2102.07,13026.25,2125.62
2129.61,2131.37,2117.03,14615.71,2119.14
2116.85,2117.73,2100.27,11017.29,2104.75
2097.09,2097.09,2030.29,13412.56,2032.44
2018.3,2045.95,2007.71,10405.91,2045.89
2046.38,2048.7,2031.76,6609.48,2034.58
2033.69,2049.36,2033.58,8381.61,2043.11
2046.58,2067.88,2046.54,8601.58,2065.61
2069.86,2072.55,2005.68,7400.3,2008.03
1999.72,1999.73,1956.18,7974.36,1995.32
1995.6,1998.25,1978.6,5171.54,1979.94
1977.56,1986.9,1926.4,7517.26,1930.14
1935.19,1963.33,1935.19,7748.48,1956.97
1958.66,1961.81,1935.59,6524.71,1961.22
1962.53,1974,1958.99,5135.05,1963.53
1962.74,1966.84,1956.42,4177.53,1963.2
1963.45,1966.92,1944.56,4262.38,1946.48
1942.05,1942.12,1911.87,6112.81,1941.96
1942.58,1969.35,1935.65,5220.09,1967.55
1969.78,1980.39,1947.26,6328.31,1953.22
1948.42,1948.42,1901.21,7402.12,1909.33
1901.99,1922.46,1893.78,5184.1,1907.26
1906.91,1936.63,1906.55,5555.91,1936.35
1940.77,1953.77,1935.55,6871.46,1953.34
1956.27,1962.28,1946.98,6572.7,1962.04
