date,price_open,price_high,price_low,price_close,amount
36529,1368.69,1407.52,1361.21,1406.37,5183.9
36530,1407.83,1433.78,1398.32,1409.68,8137.33
36531,1406.04,1463.96,1400.25,1463.94,9520.84
36532,1477.15,1522.83,1477.15,1516.6,19487.19
36535,1531.71,1546.72,1506.4,1545.11,18779.11
36536,1547.68,1547.71,1468.76,1479.78,15771.75
36537,1473.76,1489.28,1435,1438.02,12656.69
36538,1437.45,1444.07,1418.81,1424.44,7468.73
36539,1426.22,1433.47,1401.71,1408.85,6256.4
36542,1408.99,1433.38,1402.66,1433.33,6290.28
36543,1436.89,1443.59,1421.64,1426.62,7072.43
36544,1425.87,1443.67,1425.14,1440.72,6493.59
36545,1443.09,1466.9,1443.09,1466.86,8875.43
36546,1471.91,1476.46,1458.93,1465.09,13743.48
36549,1465.86,1477.41,1449.47,1477.34,14606.04
36550,1483.03,1490.46,1467.44,1476.51,12996.7
36551,1477.3,1482.46,1469.98,1481.12,9577.44
36552,1490.45,1506.92,1485.23,1506.77,15992.56
36553,1514.56,1536.35,1510.75,1535,20709.48
36570,1591.45,1674.13,1587.82,1673.94,23157.62
36571,1709.22,1746.44,1663.01,1670.67,34925.49
36572,1674.94,1695.88,1649.7,1693.11,34009
36573,1734.27,1770.88,1615.63,1640.65,47262.17
36574,1623.96,1668.16,1583.58,1668.09,25842.49
36577,1681.36,1697.01,1652.48,1677.14,32615.79
36578,1681.3,1687.51,1627.47,1632.29,26178.82
36579,1618.01,1630.55,1586.63,1594.93,18577.26
36580,1593.95,1634.32,1593.93,1634.31,14762.16
36581,1639.92,1650.37,1618.18,1631.58,18504.67
36584,1639.8,1704.88,1639.7,1704.86,24422.23
36585,1728.14,1733.14,1678.35,1714.58,32196.01
36586,1720.6,1721.14,1692.51,1697.74,23873.89
36587,1697.56,1721.6,1682.54,1713.01,20352.63
36588,1728.36,1750.65,1721.71,1738.02,25767.59
36591,1756.31,1762.83,1678.74,1681.09,26614.91
36592,1661.95,1694.89,1654.44,1694.8,16439.37
36593,1699.46,1726.04,1690.12,1726.03,17218.28
36594,1734.77,1741.22,1714.92,1732.35,18604.74
36595,1731.94,1743.14,1701.79,1705.05,16393.99
36598,1706.77,1729.01,1706.35,1728.88,12882.61
36599,1690.65,1700.37,1636.89,1685.35,18661.15
36600,1680.3,1695.16,1676.54,1681.47,15695.37
36601,1671.1,1671.18,1596.07,1607.53,13637.41
36602,1602.36,1661.98,1602.34,1658.6,13891.46
36605,1646.31,1699.28,1641.77,1699.25,17219.84
36606,1704.09,1713.21,1692.68,1710.32,17635.84
36607,1713.24,1726.59,1711.16,1720.45,16886.3
36608,1724.19,1747.28,1711.41,1747.24,17434.44
36609,1761.44,1770.26,1729.48,1730.5,22607.37
